aktie_wkn;aktie;startdate;enddate
ADS;ADIDAS AG O.N.;22.06.1998;
ALV;ALLIANZ SE VNA O.N.;30.12.1987;
ALT;ALTANA AG O.N.;23.09.2002;18.06.2007
BAS;BASF SE O.N.;30.12.1987;
HVM;BAY.HYPO-VEREINSBK.O.N.;22.06.1998;19.12.2005
BMW;BAY.MOTOREN WERKE AG ST;30.12.1987;
BAYN;BAYER AG O.N.;30.12.1987;
BEI;BEIERSDORF AG O.N.;22.12.2008;
CBK;COMMERZBANK AG O.N.;30.12.1987;
CON;CONTINENTAL AG O.N.;30.12.1987;23.09.1996
CON;CONTINENTAL AG O.N.;22.09.2003;22.12.2008
CON;CONTINENTAL AG O.N.;24.09.2012;
DAI;DAIMLER AG NA O.N.;30.12.1987;21.12.1998
DCX;DAIMLERCHRYSLER AG NA O.N;21.12.1998;
DGX;DEGUSSA;30.12.1987;23.09.2002
DBK;DEUTSCHE BANK AG NA O.N.;30.12.1987;
DB1;DEUTSCHE BOERSE NA O.N.;23.12.2002;
DPW;DEUTSCHE POST AG NA O.N.;19.03.2001;
DPB;DEUTSCHE POSTBANK AG NA;18.09.2006;22.03.2009
DRB;DRESDNER BANK;30.12.1987;23.07.2001
DTE;DT.TELEKOM AG NA;18.11.1996;
EOA;E.ON AG O.N.;19.06.2000;
EPC;EPCOS;14.02.2000;23.12.2002
FME;FRESEN.MED.CARE KGAA ST;20.09.1999;
FRE;FRESENIUS SE+CO.KGAA O.N.;22.03.2009;
HNR1;HANNOVER RÜCK;22.03.2009;21.09.2009
HEI;HEIDELBERGCEMENT AG O.N.;23.12.2009;
HEN3;HENKEL AG+CO.KGAA VZO;30.12.1987;
HOE;HOECHST;30.12.1987;20.09.1999
HRX;HYPO REAL ESTATE HLDG;19.12.2005;22.12.2008
IFX;INFINEON TECH.AG NA O.N.;19.06.2000;22.03.2009
IFX;INFINEON TECH.AG NA O.N.;21.09.2009;
KAR;KARSTADT;30.12.1987;19.03.2001
;KAUFHOF;30.12.1987;22.07.1996
SDF;K+S AG O.N.;22.09.2008;
LXS;LANXESS AG;24.09.2012;
LIN;LINDE AG O.N.;30.12.1987;
LHA;LUFTHANSA AG VNA O.N.;30.12.1987;
MAN;MAN SE ST O.N.;30.12.1987;24.09.2012
MMN4;MANNESMANN;30.12.1987;14.02.2000
;METALLGESELLSCHAFT;03.09.1990;18.11.1996
MRK;MERCK KGAA O.N.;18.06.2007;
MEO;METRO AG ST O.N.;22.07.1996;24.09.2012
MLP ;MLP AG                   ;23.07.2001;22.09.2003
MUV2;MUENCH.RUECKVERS.VNA O.N.;23.09.1996;
RWE;RWE AG ST O.N.;30.12.1987;
SZG;SALZGITTER AG O.N.;22.12.2008;23.12.2009
SAP;SAP AG O.N.;18.09.1995;
SCH;SCHERING AG O.N.;30.12.1987;18.09.2006
SIE;SIEMENS AG NA;30.12.1987;
TKA;THYSSENKRUPP AG O.N.;30.12.1987;
TUI1;TUI AG NA (früher PREUSSAG);03.09.1990;22.09.2008
VEB;VEBA;30.12.1987;19.06.2000
VIA;VIAG;30.12.1987;19.06.2000
VOW;VOLKSWAGEN AG ST O.N.;30.12.1987;23.12.2009
VOW3;VOLKSWAGEN AG VZO O.N.;23.12.2009;
