Date,Open,High,Low,Close,Volume,Adj Close
2014-03-04,16825.70,16825.70,16825.70,16825.70,000,16825.70
2014-03-03,16449.30,16449.30,16449.30,16449.30,000,16449.30
2014-02-28,16891.70,16891.70,16891.70,16891.70,000,16891.70
2014-02-27,16826.90,16826.90,16826.90,16826.90,000,16826.90
2014-02-26,16853.60,16853.60,16853.60,16853.60,000,16853.60
2014-02-25,16917.20,16917.20,16917.20,16917.20,000,16917.20
2014-02-24,16933.40,16933.40,16933.40,16933.40,000,16933.40
2014-02-21,16826.80,16826.80,16826.80,16826.80,000,16826.80
2014-02-20,16774.80,16774.80,16774.80,16774.80,000,16774.80
2014-02-19,16855.80,16855.80,16855.80,16855.80,000,16855.80
2014-02-18,16849.20,16849.20,16849.20,16849.20,000,16849.20
2014-02-17,16882.80,16882.80,16882.80,16882.80,000,16882.80
2014-02-14,16754.70,16754.70,16754.70,16754.70,000,16754.70
2014-02-13,16633.60,16633.60,16633.60,16633.60,000,16633.60
2014-02-12,16644.50,16644.50,16644.50,16644.50,000,16644.50
2014-02-11,16557.90,16557.90,16557.90,16557.90,000,16557.90
2014-02-10,16391.30,16391.30,16391.30,16391.30,000,16391.30
2014-02-07,16401.00,16401.00,16401.00,16401.00,000,16401.00
2014-02-06,16329.20,16329.20,16329.20,16329.20,000,16329.20
2014-02-05,16066.90,16066.90,16066.90,16066.90,000,16066.90
2014-02-04,16032.90,16032.90,16032.90,16032.90,000,16032.90
2014-02-03,16013.80,16013.80,16013.80,16013.80,000,16013.80
2014-01-31,16205.90,16205.90,16205.90,16205.90,000,16205.90
2014-01-30,16285.10,16285.10,16285.10,16285.10,000,16285.10
2014-01-29,16309.30,16309.30,16309.30,16309.30,000,16309.30
2014-01-28,16417.10,16417.10,16417.10,16417.10,000,16417.10
2014-01-27,16134.00,16134.00,16134.00,16134.00,000,16134.00
2014-01-24,16301.30,16301.30,16301.30,16301.30,000,16301.30
2014-01-23,16744.60,16744.60,16744.60,16744.60,000,16744.60
2014-01-22,16874.70,16874.70,16874.70,16874.70,000,16874.70
2014-01-21,16899.50,16899.50,16899.50,16899.50,000,16899.50
2014-01-20,16919.90,16919.90,16919.90,16919.90,000,16919.90
2014-01-17,16946.60,16946.60,16946.60,16946.60,000,16946.60
2014-01-16,16943.60,16943.60,16943.60,16943.60,000,16943.60
2014-01-15,16901.40,16901.40,16901.40,16901.40,000,16901.40
2014-01-14,16707.90,16707.90,16707.90,16707.90,000,16707.90
2014-01-13,16773.40,16773.40,16773.40,16773.40,000,16773.40
2014-01-10,16644.80,16644.80,16644.80,16644.80,000,16644.80
2014-01-09,16543.00,16543.00,16543.00,16543.00,000,16543.00
2014-01-08,16624.00,16624.00,16624.00,16624.00,000,16624.00
2014-01-07,16590.50,16590.50,16590.50,16590.50,000,16590.50
2014-01-06,16566.60,16566.60,16566.60,16566.60,000,16566.60
2014-01-03,16618.90,16618.90,16618.90,16618.90,000,16618.90
2014-01-02,16516.80,16516.80,16516.80,16516.80,000,16516.80
2013-12-30,16574.40,16574.40,16574.40,16574.40,000,16574.40
